"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(BioCarta) IL 6 signaling pathway","BIOCARTA_IL6_PATHWAY","UP",0.149,3.1,0.00198,0.00651
"(BioCarta) Ras Signaling Pathway","BIOCARTA_RAS_PATHWAY","UP",0.0799,3.09,0.00205,0.00671
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","UP",0.0849,3.09,0.00205,0.00671
"(Reactome) Interleukin-3, 5 and GM-CSF signaling","REACTOME_IL_3_5_AND_GM_CSF_SIGNALING","UP",0.0766,3.09,0.00206,0.00673
"(Reactome) mRNA Capping","REACTOME_MRNA_CAPPING","DOWN",-0.0883,-3.09,0.00207,0.00673
"(PID) Presenilin action in Notch and Wnt signaling","PID_PS1_PATHWAY","UP",0.0775,3.09,0.0021,0.00681
"(Reactome) Proteolytic cleavage of SNARE complex proteins","REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS","DOWN",-0.083,-3.08,0.00213,0.00689
"(BioCarta) Role of nicotinic acetylcholine receptors in the regulation of apoptosis","BIOCARTA_ACH_PATHWAY","DOWN",-0.071,-3.08,0.00214,0.00691
"(PID) GMCSF-mediated signaling events","PID_GMCSF_PATHWAY","UP",0.106,3.08,0.00216,0.00695
"(PID) Nephrin/Neph1 signaling in the kidney podocyte","PID_NEPHRIN_NEPH1_PATHWAY","DOWN",-0.0837,-3.08,0.00218,0.00698
"(Reactome) Mitochondrial tRNA aminoacylation","REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION","DOWN",-0.098,-3.07,0.00221,0.00706
"(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE","DOWN",-0.153,-3.07,0.00226,0.00719
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","DOWN",-0.0656,-3.06,0.00228,0.00726
"(Reactome) Class B/2 (Secretin family receptors)","REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS","DOWN",-0.0688,-3.05,0.00236,0.00747
"(BioCarta) TNFR2 Signaling Pathway","BIOCARTA_TNFR2_PATHWAY","UP",0.133,3.05,0.00236,0.00747
"(PID) Sphingosine 1-phosphate (S1P) pathway","PID_S1P_META_PATHWAY","UP",0.0908,3.04,0.00242,0.00763
"(KEGG) Terpenoid backbone biosynthesis","KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","DOWN",-0.164,-3.04,0.00244,0.00769
"(Reactome) Insulin receptor recycling","REACTOME_INSULIN_RECEPTOR_RECYCLING","DOWN",-0.0871,-3.04,0.00247,0.00774
"(PID) Stabilization and expansion of the E-cadherin adherens junction","PID_ECADHERIN_STABILIZATION_PATHWAY","UP",0.069,3.04,0.00249,0.00779
"(KEGG) Butanoate metabolism","KEGG_BUTANOATE_METABOLISM","DOWN",-0.129,-3.03,0.00251,0.00783
"(Reactome) Glycosphingolipid metabolism","REACTOME_GLYCOSPHINGOLIPID_METABOLISM","DOWN",-0.0767,-3.03,0.00251,0.00783
"(Reactome) Processing of Capped Intronless Pre-mRNA","REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA","DOWN",-0.069,-3.03,0.00253,0.00784
"(BioCarta) Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK)","BIOCARTA_HDAC_PATHWAY","DOWN",-0.0758,-3.03,0.00253,0.00784
"(Reactome) Formation of tubulin folding intermediates by CCT/TriC","REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC","DOWN",-0.072,-3.03,0.00255,0.00786
"(PID) Glypican 1 network","PID_GLYPICAN_1PATHWAY","UP",0.173,3.02,0.0026,0.008
"(BioCarta) NF-kB Signaling Pathway","BIOCARTA_NFKB_PATHWAY","UP",0.134,3.02,0.00262,0.00805
"(BioCarta) Signaling Pathway from G-Protein Families","BIOCARTA_GPCR_PATHWAY","UP",0.0458,3.02,0.00263,0.00805
"(KEGG) DNA replication","KEGG_DNA_REPLICATION","DOWN",-0.0842,-3.02,0.00266,0.00811
"(PID) IFN-gamma pathway","PID_IFNG_PATHWAY","UP",0.046,3.01,0.00267,0.00812
"(BioCarta) Regulation of PGC-1a","BIOCARTA_PGC1A_PATHWAY","DOWN",-0.095,-2.99,0.00289,0.00877
"(Reactome) Trafficking of GluR2-containing AMPA receptors","REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS","DOWN",-0.165,-2.98,0.00298,0.00902
"(Reactome) Platelet calcium homeostasis","REACTOME_PLATELET_CALCIUM_HOMEOSTASIS","DOWN",-0.139,-2.97,0.00304,0.00918
"(KEGG) Fc epsilon RI signaling pathway","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","DOWN",-0.0574,-2.97,0.00305,0.0092
"(BioCarta) Toll-Like Receptor Pathway","BIOCARTA_TOLL_PATHWAY","UP",0.0937,2.96,0.00318,0.00957
"(Reactome) Amine ligand-binding receptors","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS","DOWN",-0.216,-2.95,0.00327,0.00978
"(Reactome) Ras activation uopn Ca2+ infux through NMDA receptor","REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR","DOWN",-0.126,-2.95,0.00327,0.00978
"(Reactome) Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell","REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL","NONE",-0.139,-2.94,0.0034,0.0101
"(PID) EGF receptor (ErbB1) signaling pathway","PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","NONE",0.0481,2.94,0.00341,0.0102
"(Reactome) Regulation of ornithine decarboxylase (ODC)","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","NONE",-0.0846,-2.94,0.00342,0.0102
"(Reactome) Phase II conjugation","REACTOME_PHASE_II_CONJUGATION","NONE",-0.0763,-2.94,0.00343,0.0102
"(Reactome) Glucose transport","REACTOME_GLUCOSE_TRANSPORT","NONE",-0.0545,-2.93,0.00351,0.0104
"(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES","NONE",-0.0955,-2.93,0.00351,0.0104
"(BioCarta) METS affect on Macrophage Differentiation","BIOCARTA_ETS_PATHWAY","NONE",0.096,2.93,0.00354,0.0104
"(Reactome) O-linked glycosylation of mucins","REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS","NONE",-0.0644,-2.92,0.00361,0.0106
"(BioCarta) B Cell Survival Pathway","BIOCARTA_BCELLSURVIVAL_PATHWAY","NONE",0.0992,2.92,0.00365,0.0107
"(Reactome) Ionotropic activity of Kainate Receptors","REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS","NONE",-0.165,-2.91,0.00375,0.0109
"(KEGG) Pathogenic Escherichia coli infection","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","NONE",0.0657,2.91,0.00377,0.011
"(Reactome) PTM: gamma carboxylation, hypusine formation and arylsulfatase activation","REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION","NONE",-0.0956,-2.9,0.00381,0.0111
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","NONE",-0.0785,-2.89,0.00399,0.0116
"(PID) p38 signaling mediated by MAPKAP kinases","PID_P38_MK2_PATHWAY","NONE",0.0813,2.89,0.00402,0.0116
"(Reactome) GPCR downstream signaling","REACTOME_GPCR_DOWNSTREAM_SIGNALING","NONE",-0.0644,-2.88,0.00412,0.0119
"(Reactome) EGFR downregulation","REACTOME_EGFR_DOWNREGULATION","NONE",-0.0521,-2.87,0.00417,0.012
"(BioCarta) Presenilin action in Notch and Wnt signaling","BIOCARTA_PS1_PATHWAY","NONE",0.11,2.87,0.0042,0.012
"(Reactome) Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS","NONE",-0.0719,-2.86,0.00429,0.0123
"(KEGG) Nicotinate and nicotinamide metabolism","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM","NONE",-0.0689,-2.85,0.00443,0.0127
"(BioCarta) Roles of fl-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling","BIOCARTA_BARRESTIN_SRC_PATHWAY","NONE",-0.0795,-2.85,0.00453,0.0129
"(Reactome) p53-Dependent G1 DNA Damage Response","REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE","NONE",-0.071,-2.85,0.00455,0.0129
"(Reactome) Platelet homeostasis","REACTOME_PLATELET_HOMEOSTASIS","NONE",-0.0687,-2.84,0.00459,0.013
"(Reactome) Chemokine receptors bind chemokines","REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES","NONE",0.193,2.84,0.0047,0.0133
"(Reactome) Circadian Clock","REACTOME_CIRCADIAN_CLOCK","NONE",0.0613,2.84,0.00471,0.0133
"(KEGG) SNARE interactions in vesicular transport","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","NONE",-0.0478,-2.83,0.00474,0.0133
"(BioCarta) Keratinocyte Differentiation","BIOCARTA_KERATINOCYTE_PATHWAY","NONE",0.0646,2.82,0.00492,0.0138
"(PID) VEGFR3 signaling in lymphatic endothelium","PID_LYMPH_ANGIOGENESIS_PATHWAY","NONE",0.0634,2.81,0.00504,0.0141
"(Reactome) Activation of NMDA receptor upon glutamate binding and postsynaptic events","REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","NONE",-0.108,-2.81,0.00504,0.0141
"(PID) Regulation of nuclear beta catenin signaling and target gene transcription","PID_BETA_CATENIN_NUC_PATHWAY","NONE",0.0449,2.81,0.00508,0.0141
"(Reactome) Amino acid transport across the plasma membrane","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","NONE",0.0814,2.81,0.00511,0.0142
"(Reactome) NFkB and MAP kinases activation mediated by TLR4 signaling repertoire","REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE","NONE",0.0514,2.8,0.0052,0.0144
"(Reactome) Prolonged ERK activation events","REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","NONE",0.046,2.8,0.00528,0.0146
"(Reactome) Post NMDA receptor activation events","REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS","NONE",-0.0979,-2.79,0.00534,0.0147
"(BioCarta) Pertussis toxin-insensitive CCR5 Signaling in Macrophage","BIOCARTA_CCR5_PATHWAY","NONE",0.125,2.79,0.00536,0.0148
"(PID) Beta1 integrin cell surface interactions","PID_INTEGRIN1_PATHWAY","NONE",0.132,2.79,0.00546,0.015
"(KEGG) Galactose metabolism","KEGG_GALACTOSE_METABOLISM","NONE",-0.0549,-2.78,0.00551,0.0151
"(PID) Regulation of p38-alpha and p38-beta","PID_P38_ALPHA_BETA_PATHWAY","NONE",0.0528,2.78,0.00552,0.0151
"(KEGG) Homologous recombination","KEGG_HOMOLOGOUS_RECOMBINATION","NONE",-0.0645,-2.78,0.00555,0.0151
"(PID) RhoA signaling pathway","PID_RHOA_PATHWAY","NONE",0.0626,2.78,0.00555,0.0151
"(KEGG) Metabolism of xenobiotics by cytochrome P450","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450","NONE",-0.0773,-2.78,0.00556,0.0151
"(Reactome) E2F mediated regulation of DNA replication","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","NONE",-0.0662,-2.78,0.00558,0.0151
"(PID) N-cadherin signaling events","PID_NCADHERIN_PATHWAY","NONE",0.0552,2.78,0.00561,0.0152
"(Reactome) CREB phosphorylation through the activation of Ras","REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS","NONE",-0.0875,-2.78,0.00563,0.0152
"(PID) Syndecan-3-mediated signaling events","PID_SYNDECAN_3_PATHWAY","NONE",0.104,2.77,0.00574,0.0154
"(KEGG) Pancreatic cancer","KEGG_PANCREATIC_CANCER","NONE",0.0432,2.77,0.00575,0.0154
"(PID) BCR signaling pathway","PID_BCR_5PATHWAY","NONE",0.0503,2.77,0.00584,0.0156
"(Reactome) Zinc transporters","REACTOME_ZINC_TRANSPORTERS","NONE",-0.0796,-2.76,0.00601,0.0161
"(PID) Wnt signaling network","PID_WNT_SIGNALING_PATHWAY","NONE",-0.0956,-2.75,0.00606,0.0161
"(Reactome) Activation of Kainate Receptors upon glutamate binding","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING","NONE",-0.1,-2.75,0.00615,0.0163
"(PID) Ephrin B reverse signaling","PID_EPHRINB_REV_PATHWAY","NONE",0.0551,2.74,0.00632,0.0168
"(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)","REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","NONE",-0.0645,-2.73,0.00641,0.017
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","NONE",0.0853,2.73,0.00642,0.017
"(Reactome) N-Glycan antennae elongation","REACTOME_N_GLYCAN_ANTENNAE_ELONGATION","NONE",-0.105,-2.73,0.00648,0.0171
"(KEGG) NOD-like receptor signaling pathway","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",0.0403,2.73,0.00653,0.0172
"(KEGG) Axon guidance","KEGG_AXON_GUIDANCE","NONE",-0.0706,-2.72,0.00666,0.0175
"(BioCarta) Acetylation and Deacetylation of RelA in The Nucleus","BIOCARTA_RELA_PATHWAY","NONE",0.129,2.71,0.00679,0.0178
"(Reactome) Interactions of Vpr with host cellular proteins","REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","NONE",-0.0584,-2.71,0.00682,0.0178
"(SigmaAldrich) Antigen binding to B cell receptors activates protein tyrosine kinases, such as the Src family, which ultimate activate MAP kinases.","SA_B_CELL_RECEPTOR_COMPLEXES","NONE",0.0712,2.71,0.00684,0.0178
"(Reactome) Response to elevated platelet cytosolic Ca2+","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","NONE",0.11,2.71,0.00689,0.0179
"(KEGG) Drug metabolism - cytochrome P450","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","NONE",-0.0727,-2.7,0.00701,0.0182
"(Reactome) Myogenesis","REACTOME_MYOGENESIS","NONE",0.0547,2.7,0.00702,0.0182
"(PID) FOXA1 transcription factor network","PID_HNF3A_PATHWAY","NONE",0.068,2.7,0.00705,0.0182
"(Reactome) Signaling by BMP","REACTOME_SIGNALING_BY_BMP","NONE",0.0792,2.7,0.0071,0.0183
"(Reactome) Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis","REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS","NONE",0.114,2.7,0.00713,0.0183
"(KEGG) Nucleotide excision repair","KEGG_NUCLEOTIDE_EXCISION_REPAIR","NONE",-0.0629,-2.7,0.00713,0.0183
"(Reactome) TCR signaling","REACTOME_TCR_SIGNALING","NONE",0.0973,2.69,0.00725,0.0185
"(PID) Reelin signaling pathway","PID_REELIN_PATHWAY","NONE",-0.0733,-2.69,0.00729,0.0186
"(KEGG) Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","NONE",-0.0775,-2.68,0.00743,0.0189
"(PID) C-MYC pathway","PID_MYC_PATHWAY","NONE",-0.0576,-2.68,0.00744,0.0189
"(PID) TCR signaling in na&#xef;ve CD4+ T cells","PID_TCR_PATHWAY","NONE",0.049,2.68,0.00755,0.0192
"(KEGG) mTOR signaling pathway","KEGG_MTOR_SIGNALING_PATHWAY","NONE",-0.0588,-2.68,0.00756,0.0192
"(PID) E2F transcription factor network","PID_E2F_PATHWAY","NONE",0.0453,2.67,0.00784,0.0198
"(Signaling Gateway) Genes related to CD40 signaling","SIG_CD40PATHWAYMAP","NONE",-0.0565,-2.66,0.00789,0.0199
"(Reactome) Gap junction degradation","REACTOME_GAP_JUNCTION_DEGRADATION","NONE",0.0564,2.66,0.00797,0.0201
"(Reactome) Glucagon-type ligand receptors","REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS","NONE",-0.104,-2.66,0.00805,0.0202
"(KEGG) Amino sugar and nucleotide sugar metabolism","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM","NONE",-0.0586,-2.64,0.00855,0.0214
"(BioCarta) Erk1/Erk2 Mapk Signaling pathway","BIOCARTA_ERK_PATHWAY","NONE",0.0684,2.64,0.00857,0.0214
"(BioCarta) Fc Epsilon Receptor I Signaling in Mast Cells","BIOCARTA_FCER1_PATHWAY","NONE",0.0501,2.63,0.00864,0.0215
"(Reactome) Extrinsic Pathway for Apoptosis","REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS","NONE",0.103,2.63,0.00864,0.0215
"(KEGG) Antigen processing and presentation","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","NONE",0.146,2.63,0.00867,0.0215
"(Reactome) Purine ribonucleoside monophosphate biosynthesis","REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS","NONE",-0.0787,-2.63,0.00868,0.0215
"(Reactome) Toll Receptor Cascades","REACTOME_TOLL_RECEPTOR_CASCADES","NONE",0.0396,2.63,0.00871,0.0215
"(Reactome) Cytokine Signaling in Immune system","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","NONE",0.0558,2.63,0.00882,0.0218
"(Signaling Gateway) Genes related to PIP3 signaling in B lymphocytes","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","NONE",0.0405,2.62,0.00893,0.022
"(Reactome) Signaling by Interleukins","REACTOME_SIGNALING_BY_ILS","NONE",0.0566,2.62,0.00911,0.0224
"(BioCarta) Chaperones modulate interferon Signaling Pathway","BIOCARTA_TID_PATHWAY","NONE",0.153,2.61,0.00914,0.0224
"(Reactome) Signaling by the B Cell Receptor (BCR)","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","NONE",-0.0262,-2.61,0.00936,0.0229
"(BioCarta) CD40L Signaling Pathway","BIOCARTA_CD40_PATHWAY","NONE",0.101,2.6,0.00954,0.0233
"(Reactome) Post-chaperonin tubulin folding pathway","REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY","NONE",-0.0702,-2.6,0.00958,0.0233
"(KEGG) Mismatch repair","KEGG_MISMATCH_REPAIR","NONE",-0.0735,-2.6,0.00959,0.0233
"(BioCarta) Trefoil Factors Initiate Mucosal Healing","BIOCARTA_TFF_PATHWAY","NONE",0.0511,2.6,0.00964,0.0234
"(Reactome) Processive synthesis on the lagging strand","REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","NONE",-0.0722,-2.59,0.00982,0.0237
"(Reactome) Signaling by NOTCH1","REACTOME_SIGNALING_BY_NOTCH1","NONE",0.0477,2.59,0.00982,0.0237
"(PID) Signaling events mediated by VEGFR1 and VEGFR2","PID_VEGFR1_2_PATHWAY","NONE",0.0327,2.58,0.0101,0.0244
"(Reactome) Glutathione conjugation","REACTOME_GLUTATHIONE_CONJUGATION","NONE",-0.0982,-2.57,0.0103,0.0247
"(KEGG) Arginine and proline metabolism","KEGG_ARGININE_AND_PROLINE_METABOLISM","NONE",-0.0562,-2.57,0.0103,0.0247
"(BioCarta) Erythropoietin mediated neuroprotection through NF-kB","BIOCARTA_EPONFKB_PATHWAY","NONE",0.196,2.57,0.0103,0.0247
"(Reactome) Generation of second messenger molecules","REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","NONE",0.211,2.57,0.0103,0.0248
"(STKE) B Cell Antigen Receptor","ST_B_CELL_ANTIGEN_RECEPTOR","NONE",0.0432,2.57,0.0104,0.0248
"(Reactome) G alpha (12/13) signalling events","REACTOME_G_ALPHA1213_SIGNALLING_EVENTS","NONE",0.0368,2.57,0.0105,0.025
"(PID) Aurora A signaling","PID_AURORA_A_PATHWAY","NONE",-0.0462,-2.56,0.0106,0.0252
"(Reactome) Tight junction interactions","REACTOME_TIGHT_JUNCTION_INTERACTIONS","NONE",0.0828,2.55,0.0109,0.0257
"(KEGG) O-Glycan biosynthesis","KEGG_O_GLYCAN_BIOSYNTHESIS","NONE",-0.0678,-2.55,0.0109,0.0257
"(Reactome) Interferon gamma signaling","REACTOME_INTERFERON_GAMMA_SIGNALING","NONE",0.154,2.55,0.0109,0.0258
"(Reactome) Activation of BH3-only proteins","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS","NONE",-0.0591,-2.55,0.0109,0.0258
"(Reactome) Class A/1 (Rhodopsin-like receptors)","REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS","NONE",-0.0736,-2.55,0.011,0.0259
"(PID) CXCR3-mediated signaling events","PID_CXCR3_PATHWAY","NONE",-0.0583,-2.55,0.0111,0.0261
"(BioCarta) EGF Signaling Pathway","BIOCARTA_EGF_PATHWAY","NONE",0.0515,2.54,0.0113,0.0265
"(PID) TRAIL signaling pathway","PID_TRAIL_PATHWAY","NONE",-0.0435,-2.53,0.0117,0.0273
"(KEGG) Glycosphingolipid biosynthesis - globo series","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES","NONE",-0.0681,-2.53,0.0117,0.0273
"(Reactome) Purine metabolism","REACTOME_PURINE_METABOLISM","NONE",-0.0508,-2.53,0.0117,0.0274
"(Reactome) Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor","REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR","NONE",0.108,2.52,0.0119,0.0278
"(Reactome) MyD88:Mal cascade initiated on plasma membrane","REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE","NONE",0.0376,2.51,0.0122,0.0282
"(Reactome) Regulation of signaling by CBL","REACTOME_REGULATION_OF_SIGNALING_BY_CBL","NONE",0.0715,2.49,0.0129,0.03
"(BioCarta) Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages","BIOCARTA_GSK3_PATHWAY","NONE",0.0578,2.49,0.013,0.0301
"(PID) FAS (CD95) signaling pathway","PID_FAS_PATHWAY","NONE",-0.0459,-2.49,0.0131,0.0302
"(Reactome) Signaling by Insulin receptor","REACTOME_SIGNALING_BY_INSULIN_RECEPTOR","NONE",-0.0336,-2.49,0.0132,0.0303
"(PID) EPO signaling pathway","PID_EPO_PATHWAY","NONE",0.0722,2.48,0.0132,0.0304
"(Reactome) GABA receptor activation","REACTOME_GABA_RECEPTOR_ACTIVATION","NONE",-0.117,-2.48,0.0134,0.0307
"(PID) Direct p53 effectors","PID_P53_DOWNSTREAM_PATHWAY","NONE",0.047,2.48,0.0135,0.0309
"(Reactome) Innate Immune System","REACTOME_INNATE_IMMUNE_SYSTEM","NONE",0.0403,2.47,0.0137,0.0314
"(Reactome) Signaling by NOTCH2","REACTOME_SIGNALING_BY_NOTCH2","NONE",0.11,2.47,0.0138,0.0314
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","NONE",0.137,2.47,0.0139,0.0317
"(PID) p75(NTR)-mediated signaling","PID_P75_NTR_PATHWAY","NONE",-0.0281,-2.46,0.014,0.0318
"(KEGG) Non-homologous end-joining","KEGG_NON_HOMOLOGOUS_END_JOINING","NONE",-0.0712,-2.46,0.014,0.0318
"(STKE) Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway.","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","NONE",-0.0523,-2.46,0.0141,0.0318
"(Reactome) Botulinum neurotoxicity","REACTOME_BOTULINUM_NEUROTOXICITY","NONE",-0.0866,-2.46,0.0141,0.0319
"(KEGG) Tight junction","KEGG_TIGHT_JUNCTION","NONE",0.0335,2.46,0.0141,0.0319
"(PID) IL2 signaling events mediated by STAT5","PID_IL2_STAT5_PATHWAY","NONE",0.0895,2.46,0.0143,0.0321
"(Reactome) Post-translational modification: synthesis of GPI-anchored proteins","REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS","NONE",-0.064,-2.46,0.0143,0.0321
"(BioCarta) IGF-1 Signaling Pathway","BIOCARTA_IGF1_PATHWAY","NONE",0.0676,2.45,0.0147,0.0328
"(Reactome) Ca-dependent events","REACTOME_CA_DEPENDENT_EVENTS","NONE",-0.0875,-2.44,0.0148,0.0331
"(KEGG) Epithelial cell signaling in Helicobacter pylori infection","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","NONE",-0.0332,-2.44,0.0148,0.0331
"(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","NONE",0.0658,2.44,0.015,0.0335
"(Reactome) Telomere Maintenance","REACTOME_TELOMERE_MAINTENANCE","NONE",-0.0896,-2.44,0.0151,0.0335
"(Reactome) Removal of the Flap Intermediate from the C-strand","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","NONE",-0.0818,-2.43,0.0152,0.0337
"(BioCarta) Telomeres, Telomerase, Cellular Aging, and Immortality","BIOCARTA_TEL_PATHWAY","NONE",0.0522,2.43,0.0155,0.0342
"(Reactome) N-glycan trimming in the ER and Calnexin/Calreticulin cycle","REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE","NONE",0.0573,2.41,0.0162,0.0358
"(PID) S1P2 pathway","PID_S1P_S1P2_PATHWAY","NONE",0.0611,2.4,0.0164,0.0362
"(KEGG) Allograft rejection","KEGG_ALLOGRAFT_REJECTION","NONE",0.251,2.4,0.0164,0.0362
"(PID) Alpha9 beta1 integrin signaling events","PID_INTEGRIN_A9B1_PATHWAY","NONE",0.111,2.4,0.0166,0.0365
"(STKE) Granule Cell Survival Pathway is a specific case of more general PAC1 Receptor Pathway.","ST_GRANULE_CELL_SURVIVAL_PATHWAY","NONE",0.0429,2.4,0.0169,0.037
"(BioCarta) Phosphorylation of MEK1 by cdk5/p35 down regulates the MAP kinase pathway","BIOCARTA_CDK5_PATHWAY","NONE",-0.11,-2.39,0.0169,0.037
"(Reactome) Metabolism of steroid hormones and vitamins A and D","REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D","NONE",-0.0934,-2.39,0.0169,0.037
"(BioCarta) Role of BRCA1, BRCA2 and ATR in Cancer Susceptibility","BIOCARTA_ATRBRCA_PATHWAY","NONE",-0.0547,-2.39,0.0171,0.0374
"(KEGG) Complement and coagulation cascades","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","NONE",0.153,2.39,0.0172,0.0375
