"Pathway Description","MSigDB name","Direction (AD vs Control)","logFC","t","P.Value","adj.P.Val"
"(Reactome) Signaling by Rho GTPases","REACTOME_SIGNALING_BY_RHO_GTPASES","NONE",0.577,2.27,0.0448,0.0659
"(PID) Caspase cascade in apoptosis","PID_CASPASE_PATHWAY","NONE",0.985,2.25,0.047,0.0689
"(Signaling Gateway) Genes related to PIP3 signaling in cardiac myocytes","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","NONE",0.711,2.23,0.0481,0.0702
"(Reactome) Signalling to ERKs","REACTOME_SIGNALLING_TO_ERKS","NONE",0.58,2.23,0.0482,0.0702
"(Reactome) Signaling by Wnt","REACTOME_SIGNALING_BY_WNT","NONE",0.679,2.23,0.0485,0.0705
"(PID) CDC42 signaling events","PID_CDC42_PATHWAY","NONE",0.717,2.21,0.0504,0.0731
"(Reactome) G alpha (q) signalling events","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","NONE",1.62,2.19,0.0515,0.0745
"(Reactome) Telomere Maintenance","REACTOME_TELOMERE_MAINTENANCE","NONE",-0.8,-2.19,0.0519,0.0749
"(Reactome) Activation of Chaperone Genes by XBP1(S)","REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S","NONE",0.842,2.15,0.0554,0.0797
"(KEGG) Colorectal cancer","KEGG_COLORECTAL_CANCER","NONE",0.885,2.15,0.0557,0.08
"(KEGG) Prostate cancer","KEGG_PROSTATE_CANCER","NONE",-0.496,-2.14,0.0562,0.0804
"(PID) IL2 signaling events mediated by PI3K","PID_IL2_PI3K_PATHWAY","NONE",0.747,2.14,0.0564,0.0805
"(PID) E-cadherin signaling in keratinocytes","PID_ECADHERIN_KERATINOCYTE_PATHWAY","NONE",0.731,2.14,0.0568,0.0809
"(PID) Canonical Wnt signaling pathway","PID_WNT_CANONICAL_PATHWAY","NONE",1.14,2.11,0.0598,0.085
"(Reactome) NGF signalling via TRKA from the plasma membrane","REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE","NONE",0.479,2.1,0.0604,0.0855
"(Reactome) MAP kinase activation in TLR cascade","REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE","NONE",0.811,2.09,0.0611,0.0864
"(KEGG) Pyrimidine metabolism","KEGG_PYRIMIDINE_METABOLISM","NONE",-0.819,-2.08,0.0631,0.089
"(KEGG) Jak-STAT signaling pathway","KEGG_JAK_STAT_SIGNALING_PATHWAY","NONE",0.795,2.07,0.0633,0.089
"(KEGG) Gap junction","KEGG_GAP_JUNCTION","NONE",-0.631,-2.05,0.0659,0.0925
"(Reactome) Destabilization of mRNA by AUF1 (hnRNP D0)","REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0","NONE",-0.743,-2.04,0.0668,0.0933
"(Reactome) Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds","REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS","NONE",-1.34,-2.04,0.0668,0.0933
"(Reactome) GPCR ligand binding","REACTOME_GPCR_LIGAND_BINDING","NONE",0.886,2.03,0.068,0.0947
"(KEGG) RNA degradation","KEGG_RNA_DEGRADATION","NONE",0.581,2.03,0.0687,0.0954
"(STKE) Integrin Signaling Pathway","ST_INTEGRIN_SIGNALING_PATHWAY","NONE",-0.604,-2.02,0.0697,0.0966
"(PID) Notch signaling pathway","PID_NOTCH_PATHWAY","NONE",0.546,1.99,0.0724,0.1
"(Reactome) Signaling by FGFR1 fusion mutants","REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS","NONE",0.812,1.99,0.0727,0.1
"(KEGG) Glycerophospholipid metabolism","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","NONE",-1.15,-1.97,0.075,0.103
"(Reactome) NOTCH1 Intracellular Domain Regulates Transcription","REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","NONE",-0.922,-1.95,0.0774,0.106
"(Reactome) trans-Golgi Network Vesicle Budding","REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING","NONE",0.728,1.95,0.078,0.107
"(BioCarta) Bioactive Peptide Induced Signaling Pathway","BIOCARTA_BIOPEPTIDES_PATHWAY","NONE",0.638,1.94,0.08,0.109
"(Reactome) PLC beta mediated events","REACTOME_PLC_BETA_MEDIATED_EVENTS","NONE",-0.539,-1.92,0.0815,0.111
"(Reactome) Abortive elongation of HIV-1 transcript in the absence of Tat","REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT","NONE",-1.1,-1.88,0.088,0.12
"(Reactome) Signal transduction by L1","REACTOME_SIGNAL_TRANSDUCTION_BY_L1","NONE",1.3,1.87,0.0896,0.121
"(Reactome) Signaling by the B Cell Receptor (BCR)","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","NONE",0.585,1.84,0.0939,0.127
"(PID) IL8- and CXCR1-mediated signaling events","PID_IL8_CXCR1_PATHWAY","NONE",0.84,1.8,0.1,0.135
"(Reactome) Antigen Activates B Cell Receptor Leading to Generation of Second Messengers","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","NONE",-0.706,-1.79,0.103,0.138
"(PID) Signaling events mediated by HDAC Class II","PID_HDAC_CLASSII_PATHWAY","NONE",0.688,1.78,0.104,0.139
"(Reactome) Platelet homeostasis","REACTOME_PLATELET_HOMEOSTASIS","NONE",-0.677,-1.78,0.104,0.14
"(KEGG) Notch signaling pathway","KEGG_NOTCH_SIGNALING_PATHWAY","NONE",-0.988,-1.75,0.11,0.146
"(Reactome) Signalling by NGF","REACTOME_SIGNALLING_BY_NGF","NONE",0.361,1.71,0.116,0.154
"(KEGG) Prion diseases","KEGG_PRION_DISEASES","NONE",-0.6,-1.7,0.119,0.158
"(KEGG) NOD-like receptor signaling pathway","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",0.585,1.7,0.119,0.158
"(Reactome) Signal attenuation","REACTOME_SIGNAL_ATTENUATION","NONE",0.548,1.68,0.122,0.161
"(PID) IL8- and CXCR2-mediated signaling events","PID_IL8_CXCR2_PATHWAY","NONE",0.633,1.66,0.127,0.167
"(Reactome) Cell death signalling via NRAGE, NRIF and NADE","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","NONE",0.431,1.64,0.13,0.172
"(PID) IL1-mediated signaling events","PID_IL1_PATHWAY","NONE",0.791,1.64,0.131,0.172
"(KEGG) GnRH signaling pathway","KEGG_GNRH_SIGNALING_PATHWAY","NONE",-0.456,-1.63,0.132,0.173
"(Reactome) TRIF mediated TLR3 signaling","REACTOME_TRIF_MEDIATED_TLR3_SIGNALING","NONE",0.453,1.63,0.133,0.173
"(Reactome) Activated TLR4 signalling","REACTOME_ACTIVATED_TLR4_SIGNALLING","NONE",0.453,1.63,0.133,0.173
"(KEGG) Aldosterone-regulated sodium reabsorption","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","NONE",0.429,1.63,0.133,0.173
"(PID) Downstream signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_DOWNSTREAM_PATHWAY","NONE",0.786,1.62,0.135,0.175
"(Reactome) Regulation of Apoptosis","REACTOME_REGULATION_OF_APOPTOSIS","NONE",0.404,1.62,0.135,0.175
"(PID) TCR signaling in na&#xef;ve CD8+ T cells","PID_CD8_TCR_PATHWAY","NONE",0.484,1.62,0.136,0.175
"(KEGG) Focal adhesion","KEGG_FOCAL_ADHESION","NONE",0.355,1.61,0.136,0.176
"(Reactome) Activation of NF-kappaB in B Cells","REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS","NONE",0.639,1.56,0.148,0.19
"(BioCarta) Actions of Nitric Oxide in the Heart","BIOCARTA_NO1_PATHWAY","NONE",-0.587,-1.53,0.156,0.2
"(KEGG) Vascular smooth muscle contraction","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION","NONE",0.399,1.52,0.157,0.201
"(PID) Thromboxane A2 receptor signaling","PID_TXA2PATHWAY","NONE",0.676,1.5,0.163,0.208
"(KEGG) Hypertrophic cardiomyopathy (HCM)","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM","NONE",-0.398,-1.5,0.163,0.208
"(BioCarta) Agrin in Postsynaptic Differentiation","BIOCARTA_AGR_PATHWAY","NONE",0.9,1.49,0.165,0.209
"(KEGG) Lysosome","KEGG_LYSOSOME","NONE",0.705,1.49,0.165,0.209
"(KEGG) Acute myeloid leukemia","KEGG_ACUTE_MYELOID_LEUKEMIA","NONE",-0.57,-1.49,0.166,0.211
"(PID) FOXA1 transcription factor network","PID_HNF3A_PATHWAY","NONE",1.09,1.48,0.169,0.213
"(PID) Direct p53 effectors","PID_P53_DOWNSTREAM_PATHWAY","NONE",0.435,1.47,0.171,0.216
"(BioCarta) PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase","BIOCARTA_MYOSIN_PATHWAY","NONE",0.539,1.46,0.172,0.216
"(PID) Endothelins","PID_ENDOTHELIN_PATHWAY","NONE",0.465,1.46,0.173,0.217
"(Reactome) Signaling by NOTCH","REACTOME_SIGNALING_BY_NOTCH","NONE",-0.63,-1.46,0.173,0.217
"(KEGG) Non-small cell lung cancer","KEGG_NON_SMALL_CELL_LUNG_CANCER","NONE",0.508,1.44,0.178,0.222
"(Reactome) Interleukin-1 signaling","REACTOME_IL1_SIGNALING","NONE",0.647,1.44,0.18,0.224
"(PID) IL6-mediated signaling events","PID_IL6_7_PATHWAY","NONE",0.513,1.43,0.181,0.225
"(KEGG) Apoptosis","KEGG_APOPTOSIS","NONE",-0.369,-1.43,0.182,0.226
"(KEGG) T cell receptor signaling pathway","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY","NONE",0.5,1.42,0.184,0.227
"(KEGG) RIG-I-like receptor signaling pathway","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY","NONE",0.832,1.42,0.185,0.228
"(PID) Aurora B signaling","PID_AURORA_B_PATHWAY","NONE",-0.667,-1.4,0.189,0.233
"(Reactome) Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS","NONE",0.666,1.39,0.192,0.236
"(Reactome) Signaling by GPCR","REACTOME_SIGNALING_BY_GPCR","NONE",0.375,1.39,0.192,0.236
"(Reactome) FRS2-mediated cascade","REACTOME_FRS2_MEDIATED_CASCADE","NONE",0.793,1.39,0.194,0.237
"(Reactome) CTLA4 inhibitory signaling","REACTOME_CTLA4_INHIBITORY_SIGNALING","NONE",0.626,1.38,0.196,0.238
"(Reactome) Growth hormone receptor signaling","REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING","NONE",-0.462,-1.38,0.196,0.238
"(BioCarta) ALK in cardiac myocytes","BIOCARTA_ALK_PATHWAY","NONE",0.821,1.38,0.196,0.238
"(Reactome) Inhibition of Insulin Secretion by Adrenaline/Noradrenaline","REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE","NONE",-0.587,-1.38,0.197,0.238
"(KEGG) Progesterone-mediated oocyte maturation","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION","NONE",-0.664,-1.36,0.202,0.244
"(KEGG) Bladder cancer","KEGG_BLADDER_CANCER","NONE",0.629,1.35,0.206,0.249
"(Reactome) Sphingolipid metabolism","REACTOME_SPHINGOLIPID_METABOLISM","NONE",0.693,1.35,0.206,0.249
"(KEGG) B cell receptor signaling pathway","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","NONE",0.543,1.34,0.208,0.251
"(BioCarta) MAPKinase Signaling Pathway","BIOCARTA_MAPK_PATHWAY","NONE",0.355,1.34,0.209,0.251
"(KEGG) ErbB signaling pathway","KEGG_ERBB_SIGNALING_PATHWAY","NONE",0.28,1.28,0.228,0.274
"(BioCarta) FAS signaling pathway ( CD95 )","BIOCARTA_FAS_PATHWAY","NONE",0.382,1.27,0.231,0.277
"(Reactome) Diabetes pathways","REACTOME_DIABETES_PATHWAYS","NONE",-0.451,-1.27,0.232,0.277
"(Reactome) G alpha (z) signalling events","REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS","NONE",-0.489,-1.26,0.234,0.278
"(KEGG) Long-term potentiation","KEGG_LONG_TERM_POTENTIATION","NONE",-0.428,-1.23,0.244,0.29
"(PID) Angiopoietin receptor Tie2-mediated signaling","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","NONE",0.452,1.2,0.255,0.302
"(Reactome) Biological oxidations","REACTOME_BIOLOGICAL_OXIDATIONS","NONE",-0.422,-1.2,0.255,0.302
"(PID) ErbB4 signaling events","PID_ERBB4_PATHWAY","NONE",0.496,1.2,0.257,0.303
"(Reactome) SCF-beta-TrCP mediated degradation of Emi1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","NONE",-0.365,-1.19,0.259,0.304
"(Reactome) SCF(Skp2)-mediated degradation of p27/p21","REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21","NONE",-0.365,-1.19,0.259,0.304
"(Reactome) Hemostasis","REACTOME_HEMOSTASIS","NONE",-0.315,-1.16,0.27,0.317
"(Reactome) TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION","NONE",0.378,1.15,0.276,0.321
"(Reactome) NFkB and MAP kinases activation mediated by TLR4 signaling repertoire","REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE","NONE",0.378,1.15,0.276,0.321
"(Reactome) MyD88:Mal cascade initiated on plasma membrane","REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE","NONE",0.378,1.15,0.276,0.321
"(PID) Regulation of RAC1 activity","PID_RAC1_REG_PATHWAY","NONE",0.312,1.14,0.281,0.327
"(Reactome) Signaling by PDGF","REACTOME_SIGNALING_BY_PDGF","NONE",0.25,1.13,0.283,0.328
"(PID) FAS (CD95) signaling pathway","PID_FAS_PATHWAY","NONE",0.385,1.06,0.312,0.362
"(PID) Regulation of CDC42 activity","PID_CDC42_REG_PATHWAY","NONE",-0.254,-1.03,0.325,0.375
"(PID) IFN-gamma pathway","PID_IFNG_PATHWAY","NONE",0.306,1.03,0.326,0.376
"(BioCarta) Effects of calcineurin in Keratinocyte Differentiation","BIOCARTA_CALCINEURIN_PATHWAY","NONE",0.712,1.03,0.327,0.377
"(Reactome) Mitotic G2-G2/M phases","REACTOME_MITOTIC_G2_G2_M_PHASES","NONE",0.273,1.02,0.33,0.379
"(BioCarta) mCalpain and friends in Cell motility","BIOCARTA_MCALPAIN_PATHWAY","NONE",0.248,1.01,0.333,0.382
"(PID) E2F transcription factor network","PID_E2F_PATHWAY","NONE",-0.6,-1,0.337,0.386
"(Reactome) Regulation of mitotic cell cycle","REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE","NONE",-0.264,-0.947,0.365,0.416
"(Reactome) Elongation arrest and recovery","REACTOME_ELONGATION_ARREST_AND_RECOVERY","NONE",-0.472,-0.924,0.376,0.428
"(BioCarta) Erk1/Erk2 Mapk Signaling pathway","BIOCARTA_ERK_PATHWAY","NONE",0.42,0.904,0.386,0.439
"(PID) Validated transcriptional targets of TAp63 isoforms","PID_TAP63_PATHWAY","NONE",-0.452,-0.898,0.389,0.442
"(Reactome) Membrane Trafficking","REACTOME_MEMBRANE_TRAFFICKING","NONE",0.3,0.891,0.393,0.445
"(Reactome) Cell surface interactions at the vascular wall","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","NONE",-0.445,-0.885,0.396,0.447
"(BioCarta) PDGF Signaling Pathway","BIOCARTA_PDGF_PATHWAY","NONE",-0.308,-0.884,0.396,0.447
"(PID) Nongenotropic Androgen signaling","PID_AR_NONGENOMIC_PATHWAY","NONE",-0.333,-0.852,0.413,0.465
"(STKE) ERK1/ERK2 MAPK Pathway","ST_ERK1_ERK2_MAPK_PATHWAY","NONE",-0.39,-0.84,0.419,0.471
"(STKE) Differentiation Pathway in PC12 Cells; this is a specific case of PAC1 Receptor Pathway.","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","NONE",0.287,0.817,0.432,0.484
"(Reactome) Antigen processing: Ubiquitination & Proteasome degradation","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION","NONE",-0.24,-0.806,0.438,0.49
"(PID) TNF receptor signaling pathway","PID_TNF_PATHWAY","NONE",0.549,0.804,0.439,0.49
"(PID) AP-1 transcription factor network","PID_AP1_PATHWAY","NONE",0.574,0.779,0.453,0.505
"(Reactome) Unfolded Protein Response","REACTOME_UNFOLDED_PROTEIN_RESPONSE","NONE",-0.226,-0.717,0.489,0.544
"(KEGG) Amyotrophic lateral sclerosis (ALS)","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS","NONE",0.283,0.691,0.505,0.56
"(PID) ATF-2 transcription factor network","PID_ATF2_PATHWAY","NONE",0.321,0.679,0.512,0.566
"(Reactome) G alpha (i) signalling events","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS","NONE",-0.215,-0.678,0.512,0.566
"(Reactome) Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell","REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL","NONE",-0.199,-0.676,0.513,0.566
"(Reactome) p75 NTR receptor-mediated signalling","REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","NONE",0.159,0.674,0.515,0.567
"(KEGG) Glioma","KEGG_GLIOMA","NONE",-0.234,-0.665,0.52,0.57
"(PID) Presenilin action in Notch and Wnt signaling","PID_PS1_PATHWAY","NONE",0.302,0.665,0.52,0.57
"(KEGG) Long-term depression","KEGG_LONG_TERM_DEPRESSION","NONE",0.318,0.664,0.521,0.57
"(Reactome) NRAGE signals death through JNK","REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","NONE",0.184,0.637,0.537,0.587
"(Reactome) Signaling by FGFR1 mutants","REACTOME_SIGNALING_BY_FGFR1_MUTANTS","NONE",0.268,0.634,0.539,0.588
"(KEGG) Oocyte meiosis","KEGG_OOCYTE_MEIOSIS","NONE",0.156,0.63,0.542,0.59
"(KEGG) Arrhythmogenic right ventricular cardiomyopathy (ARVC)","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC","NONE",0.269,0.625,0.545,0.592
"(Reactome) Circadian Clock","REACTOME_CIRCADIAN_CLOCK","NONE",0.315,0.619,0.549,0.595
"(PID) Signaling mediated by p38-alpha and p38-beta","PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY","NONE",0.552,0.616,0.551,0.595
"(PID) IL4-mediated signaling events","PID_IL4_2PATHWAY","NONE",0.183,0.606,0.557,0.601
"(Reactome) Toll Receptor Cascades","REACTOME_TOLL_RECEPTOR_CASCADES","NONE",0.205,0.592,0.566,0.61
"(Reactome) Sema3A PAK dependent Axon repulsion","REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION","NONE",0.341,0.58,0.574,0.617
"(BioCarta) Inhibition of Cellular Proliferation by Gleevec","BIOCARTA_GLEEVEC_PATHWAY","NONE",-0.179,-0.575,0.577,0.62
"(BioCarta) EGF Signaling Pathway","BIOCARTA_EGF_PATHWAY","NONE",-0.221,-0.565,0.584,0.625
"(PID) C-MYB transcription factor network","PID_CMYB_PATHWAY","NONE",-0.311,-0.548,0.595,0.636
"(Reactome) Response to elevated platelet cytosolic Ca2+","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","NONE",-0.224,-0.52,0.614,0.655
"(BioCarta) TNFR1 Signaling Pathway","BIOCARTA_TNFR1_PATHWAY","NONE",0.153,0.515,0.617,0.657
"(Reactome) Signaling by NOTCH1","REACTOME_SIGNALING_BY_NOTCH1","NONE",-0.258,-0.499,0.628,0.668
"(KEGG) PPAR signaling pathway","KEGG_PPAR_SIGNALING_PATHWAY","NONE",-0.206,-0.483,0.639,0.678
"(KEGG) Chemokine signaling pathway","KEGG_CHEMOKINE_SIGNALING_PATHWAY","NONE",0.107,0.478,0.643,0.68
"(PID) GMCSF-mediated signaling events","PID_GMCSF_PATHWAY","NONE",-0.146,-0.47,0.648,0.685
"(Reactome) Golgi Associated Vesicle Biogenesis","REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS","NONE",0.171,0.459,0.656,0.692
"(BioCarta) HIV-I Nef: negative effector of Fas and TNF","BIOCARTA_HIVNEF_PATHWAY","NONE",-0.152,-0.415,0.687,0.723
"(Reactome) Innate Immune System","REACTOME_INNATE_IMMUNE_SYSTEM","NONE",-0.136,-0.412,0.688,0.723
"(Reactome) Metabolism of vitamins and cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS","NONE",-0.202,-0.394,0.701,0.736
"(Reactome) Immune System","REACTOME_IMMUNE_SYSTEM","NONE",-0.0852,-0.369,0.719,0.753
"(PID) PDGFR-alpha signaling pathway","PID_PDGFRA_PATHWAY","NONE",-0.121,-0.364,0.723,0.755
"(PID) Signaling events mediated by HDAC Class III","PID_HDAC_CLASSIII_PATHWAY","NONE",-0.114,-0.344,0.737,0.769
"(KEGG) Pathogenic Escherichia coli infection","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","NONE",0.0846,0.34,0.741,0.771
"(Signaling Gateway) Genes related to regulation of the actin cytoskeleton","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","NONE",-0.0916,-0.33,0.748,0.777
"(BioCarta) TPO Signaling Pathway","BIOCARTA_TPO_PATHWAY","NONE",0.125,0.311,0.762,0.79
"(Reactome) Regulation of Insulin Secretion","REACTOME_REGULATION_OF_INSULIN_SECRETION","NONE",-0.0887,-0.307,0.765,0.792
"(BioCarta) Phosphoinositides and their downstream targets.","BIOCARTA_PTDINS_PATHWAY","NONE",-0.0892,-0.298,0.772,0.797
"(BioCarta) mTOR Signaling Pathway","BIOCARTA_MTOR_PATHWAY","NONE",0.111,0.273,0.79,0.815
"(KEGG) Melanoma","KEGG_MELANOMA","NONE",-0.17,-0.258,0.802,0.825
"(PID) IL2 signaling events mediated by STAT5","PID_IL2_STAT5_PATHWAY","NONE",-0.172,-0.256,0.803,0.825
"(PID) Regulation of Ras family activation","PID_RAS_PATHWAY","NONE",0.11,0.251,0.806,0.827
"(Reactome) Platelet activation, signaling and aggregation","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","NONE",0.0799,0.237,0.817,0.837
"(BioCarta) WNT Signaling Pathway","BIOCARTA_WNT_PATHWAY","NONE",-0.107,-0.202,0.844,0.862
"(KEGG) Pathways in cancer","KEGG_PATHWAYS_IN_CANCER","NONE",0.0384,0.177,0.863,0.88
"(KEGG) Pancreatic cancer","KEGG_PANCREATIC_CANCER","NONE",0.06,0.157,0.879,0.895
"(Reactome) Metabolism of amino acids and derivatives","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","NONE",-0.0423,-0.152,0.882,0.896
"(Reactome) Neuronal System","REACTOME_NEURONAL_SYSTEM","NONE",0.0404,0.145,0.887,0.9
"(Reactome) Negative regulation of FGFR signaling","REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING","NONE",-0.0611,-0.13,0.899,0.91
"(Signaling Gateway) Genes related to chemotaxis","SIG_CHEMOTAXIS","NONE",-0.0329,-0.112,0.913,0.923
"(KEGG) Calcium signaling pathway","KEGG_CALCIUM_SIGNALING_PATHWAY","NONE",-0.028,-0.104,0.919,0.927
"(Reactome) G alpha (12/13) signalling events","REACTOME_G_ALPHA1213_SIGNALLING_EVENTS","NONE",-0.0192,-0.0763,0.941,0.947
"(KEGG) Alzheimer's disease","KEGG_ALZHEIMERS_DISEASE","NONE",0.0262,0.0752,0.941,0.947
"(Reactome) Integration of energy metabolism","REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","NONE",-0.0209,-0.0713,0.944,0.948
"(STKE) G alpha 13 Pathway","ST_GA13_PATHWAY","NONE",-0.0124,-0.0284,0.978,0.98
"(PID) IL2-mediated signaling events","PID_IL2_1PATHWAY","NONE",0.000294,0.00121,0.999,0.999
