"STANDARD_NAME","CONTRIBUTOR","DESCRIPTION_BRIEF","display_name"
"REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS","Reactome","Genes involved in Activation of NF-kappaB in B Cells","(Reactome) Activation of NF-kappaB in B Cells"
"REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION","Reactome","Genes involved in RORA Activates Circadian Expression","(Reactome) RORA Activates Circadian Expression"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","Reactome","Genes involved in Antigen Activates B Cell Receptor Leading to Generation of Second Messengers","(Reactome) Antigen Activates B Cell Receptor Leading to Generation of Second Messengers"
"REACTOME_REGULATION_OF_COMPLEMENT_CASCADE","Reactome","Genes involved in Regulation of Complement cascade","(Reactome) Regulation of Complement cascade"
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION","Reactome","Genes involved in YAP1- and WWTR1 (TAZ)-stimulated gene expression","(Reactome) YAP1- and WWTR1 (TAZ)-stimulated gene expression"
"REACTOME_SIGNALING_BY_NOTCH2","Reactome","Genes involved in Signaling by NOTCH2","(Reactome) Signaling by NOTCH2"
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","Reactome","Genes involved in Pre-NOTCH Expression and Processing","(Reactome) Pre-NOTCH Expression and Processing"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","Reactome","Genes involved in Signaling by the B Cell Receptor (BCR)","(Reactome) Signaling by the B Cell Receptor (BCR)"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","Reactome","Genes involved in Extracellular matrix organization","(Reactome) Extracellular matrix organization"
"REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","Reactome","Genes involved in NOTCH1 Intracellular Domain Regulates Transcription","(Reactome) NOTCH1 Intracellular Domain Regulates Transcription"
"REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA","Reactome","Genes involved in Circadian Repression of Expression by REV-ERBA","(Reactome) Circadian Repression of Expression by REV-ERBA"
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI","Reactome","Genes involved in Pre-NOTCH Processing in Golgi","(Reactome) Pre-NOTCH Processing in Golgi"
"REACTOME_SIGNALING_BY_NOTCH1","Reactome","Genes involved in Signaling by NOTCH1","(Reactome) Signaling by NOTCH1"
"REACTOME_SIGNALING_BY_NOTCH3","Reactome","Genes involved in Signaling by NOTCH3","(Reactome) Signaling by NOTCH3"
"REACTOME_TRIGLYCERIDE_BIOSYNTHESIS","Reactome","Genes involved in Triglyceride Biosynthesis","(Reactome) Triglyceride Biosynthesis"
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE","Reactome","Genes involved in Insulin receptor signalling cascade","(Reactome) Insulin receptor signalling cascade"
"REACTOME_ARMS_MEDIATED_ACTIVATION","Reactome","Genes involved in ARMS-mediated activation","(Reactome) ARMS-mediated activation"
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS","Reactome","Genes involved in Prolonged ERK activation events","(Reactome) Prolonged ERK activation events"
"REACTOME_SIGNALLING_TO_RAS","Reactome","Genes involved in Signalling to RAS","(Reactome) Signalling to RAS"
"REACTOME_SIGNALING_BY_BMP","Reactome","Genes involved in Signaling by BMP","(Reactome) Signaling by BMP"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","Reactome","Genes involved in Cell surface interactions at the vascular wall","(Reactome) Cell surface interactions at the vascular wall"
"REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE","Reactome","Genes involved in NGF signalling via TRKA from the plasma membrane","(Reactome) NGF signalling via TRKA from the plasma membrane"
"REACTOME_SIGNALLING_TO_ERKS","Reactome","Genes involved in Signalling to ERKs","(Reactome) Signalling to ERKs"
"REACTOME_P38MAPK_EVENTS","Reactome","Genes involved in p38MAPK events","(Reactome) p38MAPK events"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI","Reactome","Genes involved in Acyl chain remodelling of PI","(Reactome) Acyl chain remodelling of PI"
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","Reactome","Genes involved in TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)","(Reactome) TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"
"REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING","Reactome","Genes involved in Downregulation of TGF-beta receptor signaling","(Reactome) Downregulation of TGF-beta receptor signaling"
"REACTOME_COLLAGEN_FORMATION","Reactome","Genes involved in Collagen formation","(Reactome) Collagen formation"
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION","Reactome","Genes involved in SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","(Reactome) SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"
"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE","Reactome","Genes involved in Signaling by FGFR in disease","(Reactome) Signaling by FGFR in disease"
"REACTOME_HS_GAG_DEGRADATION","Reactome","Genes involved in HS-GAG degradation","(Reactome) HS-GAG degradation"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE","Reactome","Genes involved in Synthesis of PIPs at the early endosome membrane","(Reactome) Synthesis of PIPs at the early endosome membrane"
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN","Reactome","Genes involved in Signalling to p38 via RIT and RIN","(Reactome) Signalling to p38 via RIT and RIN"
"REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT","Reactome","Genes involved in p53-Independent G1/S DNA damage checkpoint","(Reactome) p53-Independent G1/S DNA damage checkpoint"
"REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN","Reactome","Genes involved in Regulation of Hypoxia-inducible Factor (HIF) by Oxygen","(Reactome) Regulation of Hypoxia-inducible Factor (HIF) by Oxygen"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC","Reactome","Genes involved in Acyl chain remodelling of PC","(Reactome) Acyl chain remodelling of PC"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE","Reactome","Genes involved in Synthesis of PIPs at the Golgi membrane","(Reactome) Synthesis of PIPs at the Golgi membrane"
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS","Reactome","Genes involved in TGF-beta receptor signaling activates SMADs","(Reactome) TGF-beta receptor signaling activates SMADs"
"REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2","Reactome","Genes involved in Activated point mutants of FGFR2","(Reactome) Activated point mutants of FGFR2"
"REACTOME_PHOSPHOLIPID_METABOLISM","Reactome","Genes involved in Phospholipid metabolism","(Reactome) Phospholipid metabolism"
"REACTOME_CS_DS_DEGRADATION","Reactome","Genes involved in CS/DS degradation","(Reactome) CS/DS degradation"
"REACTOME_SYNTHESIS_OF_PA","Reactome","Genes involved in Synthesis of PA","(Reactome) Synthesis of PA"
"REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA","Reactome","Genes involved in Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha","(Reactome) Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE","Reactome","Genes involved in Synthesis of PIPs at the late endosome membrane","(Reactome) Synthesis of PIPs at the late endosome membrane"
"REACTOME_SYNTHESIS_OF_PE","Reactome","Genes involved in Synthesis of PE","(Reactome) Synthesis of PE"
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK","Reactome","Genes involved in Gastrin-CREB signalling pathway via PKC and MAPK","(Reactome) Gastrin-CREB signalling pathway via PKC and MAPK"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","Reactome","Genes involved in Chondroitin sulfate biosynthesis","(Reactome) Chondroitin sulfate biosynthesis"
"REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION","Reactome","Genes involved in Hyaluronan uptake and degradation","(Reactome) Hyaluronan uptake and degradation"
"REACTOME_SIGNALING_BY_FGFR1_MUTANTS","Reactome","Genes involved in Signaling by FGFR1 mutants","(Reactome) Signaling by FGFR1 mutants"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","Reactome","Genes involved in Synthesis of PIPs at the plasma membrane","(Reactome) Synthesis of PIPs at the plasma membrane"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES","Reactome","Genes involved in The activation of arylsulfatases","(Reactome) The activation of arylsulfatases"
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER","Reactome","Genes involved in Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","(Reactome) Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"
"REACTOME_HYALURONAN_METABOLISM","Reactome","Genes involved in Hyaluronan metabolism","(Reactome) Hyaluronan metabolism"
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY","Reactome","Genes involved in Downregulation of SMAD2/3:SMAD4 transcriptional activity","(Reactome) Downregulation of SMAD2/3:SMAD4 transcriptional activity"
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS","Reactome","Genes involved in Keratan sulfate biosynthesis","(Reactome) Keratan sulfate biosynthesis"
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE","Reactome","Genes involved in Reversible Hydration of Carbon Dioxide","(Reactome) Reversible Hydration of Carbon Dioxide"
"REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS","Reactome","Genes involved in Signaling by FGFR1 fusion mutants","(Reactome) Signaling by FGFR1 fusion mutants"
"REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM","Reactome","Genes involved in alpha-linolenic acid (ALA) metabolism","(Reactome) alpha-linolenic acid (ALA) metabolism"
"REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1","Reactome","Genes involved in Signaling by activated point mutants of FGFR1","(Reactome) Signaling by activated point mutants of FGFR1"
"REACTOME_PI_METABOLISM","Reactome","Genes involved in PI Metabolism","(Reactome) PI Metabolism"
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM","Reactome","Genes involved in Abacavir transport and metabolism","(Reactome) Abacavir transport and metabolism"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","Reactome","Genes involved in Chondroitin sulfate/dermatan sulfate metabolism","(Reactome) Chondroitin sulfate/dermatan sulfate metabolism"
"REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS","Reactome","Genes involved in Latent infection of Homo sapiens with Mycobacterium tuberculosis","(Reactome) Latent infection of Homo sapiens with Mycobacterium tuberculosis"
"REACTOME_SYNTHESIS_OF_PC","Reactome","Genes involved in Synthesis of PC","(Reactome) Synthesis of PC"
"REACTOME_HS_GAG_BIOSYNTHESIS","Reactome","Genes involved in HS-GAG biosynthesis","(Reactome) HS-GAG biosynthesis"
"REACTOME_SIGNALING_BY_FGFR3_MUTANTS","Reactome","Genes involved in Signaling by FGFR3 mutants","(Reactome) Signaling by FGFR3 mutants"
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Reactome","Genes involved in Keratan sulfate/keratin metabolism","(Reactome) Keratan sulfate/keratin metabolism"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","Reactome","Genes involved in Apoptosis induced DNA fragmentation","(Reactome) Apoptosis induced DNA fragmentation"
"REACTOME_KERATAN_SULFATE_DEGRADATION","Reactome","Genes involved in Keratan sulfate degradation","(Reactome) Keratan sulfate degradation"
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","Reactome","Genes involved in Heparan sulfate/heparin (HS-GAG) metabolism","(Reactome) Heparan sulfate/heparin (HS-GAG) metabolism"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","Reactome","Genes involved in Glycosaminoglycan metabolism","(Reactome) Glycosaminoglycan metabolism"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG","Reactome","Genes involved in Acyl chain remodelling of PG","(Reactome) Acyl chain remodelling of PG"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE","Reactome","Genes involved in Acyl chain remodelling of PE","(Reactome) Acyl chain remodelling of PE"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS","Reactome","Genes involved in Acyl chain remodelling of PS","(Reactome) Acyl chain remodelling of PS"
"REACTOME_SIGNALING_BY_FGFR_MUTANTS","Reactome","Genes involved in Signaling by FGFR mutants","(Reactome) Signaling by FGFR mutants"
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION","Reactome","Genes involved in MHC class II antigen presentation","(Reactome) MHC class II antigen presentation"
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","Reactome","Genes involved in Glycerophospholipid biosynthesis","(Reactome) Glycerophospholipid biosynthesis"
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS","Reactome","Genes involved in A tetrasaccharide linker sequence is required for GAG synthesis","(Reactome) A tetrasaccharide linker sequence is required for GAG synthesis"
"REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","Reactome","Genes involved in CDK-mediated phosphorylation and removal of Cdc6","(Reactome) CDK-mediated phosphorylation and removal of Cdc6"
"REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN","Reactome","Genes involved in Platelet Adhesion to exposed collagen","(Reactome) Platelet Adhesion to exposed collagen"
"REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS","Reactome","Genes involved in VEGF ligand-receptor interactions","(Reactome) VEGF ligand-receptor interactions"
"REACTOME_ENOS_ACTIVATION_AND_REGULATION","Reactome","Genes involved in eNOS activation and regulation","(Reactome) eNOS activation and regulation"
"REACTOME_MICRORNA_MIRNA_BIOGENESIS","Reactome","Genes involved in MicroRNA (miRNA) Biogenesis","(Reactome) MicroRNA (miRNA) Biogenesis"
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION","Reactome","Genes involved in Nuclear Events (kinase and transcription factor activation)","(Reactome) Nuclear Events (kinase and transcription factor activation)"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","Reactome","Genes involved in Retrograde neurotrophin signalling","(Reactome) Retrograde neurotrophin signalling"
"REACTOME_ERKS_ARE_INACTIVATED","Reactome","Genes involved in ERKs are inactivated","(Reactome) ERKs are inactivated"
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK","Reactome","Genes involved in Negative regulation of the PI3K/AKT network","(Reactome) Negative regulation of the PI3K/AKT network"
"REACTOME_PI3K_AKT_ACTIVATION","Reactome","Genes involved in PI3K/AKT activation","(Reactome) PI3K/AKT activation"
"REACTOME_REGULATORY_RNA_PATHWAYS","Reactome","Genes involved in Regulatory RNA pathways","(Reactome) Regulatory RNA pathways"
"REACTOME_EGFR_DOWNREGULATION","Reactome","Genes involved in EGFR downregulation","(Reactome) EGFR downregulation"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","Reactome","Genes involved in Processing of Capped Intron-Containing Pre-mRNA","(Reactome) Processing of Capped Intron-Containing Pre-mRNA"
"REACTOME_PECAM1_INTERACTIONS","Reactome","Genes involved in PECAM1 interactions","(Reactome) PECAM1 interactions"
"REACTOME_TCR_SIGNALING","Reactome","Genes involved in TCR signaling","(Reactome) TCR signaling"
"REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX","Reactome","Genes involved in Regulation of pyruvate dehydrogenase (PDH) complex","(Reactome) Regulation of pyruvate dehydrogenase (PDH) complex"
"REACTOME_DOWNSTREAM_TCR_SIGNALING","Reactome","Genes involved in Downstream TCR signaling","(Reactome) Downstream TCR signaling"
"REACTOME_BASIGIN_INTERACTIONS","Reactome","Genes involved in Basigin interactions","(Reactome) Basigin interactions"
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL","Reactome","Genes involved in AKT phosphorylates targets in the cytosol","(Reactome) AKT phosphorylates targets in the cytosol"
"REACTOME_GAB1_SIGNALOSOME","Reactome","Genes involved in GAB1 signalosome","(Reactome) GAB1 signalosome"
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING","Reactome","Genes involved in SHC1 events in EGFR signaling","(Reactome) SHC1 events in EGFR signaling"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","Reactome","Genes involved in Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","(Reactome) Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"
"REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS","Reactome","Genes involved in Phosphorylation of CD3 and TCR zeta chains","(Reactome) Phosphorylation of CD3 and TCR zeta chains"
"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE","Reactome","Genes involved in Glutamate Neurotransmitter Release Cycle","(Reactome) Glutamate Neurotransmitter Release Cycle"
"REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE","Reactome","Genes involved in Translocation of ZAP-70 to Immunological synapse","(Reactome) Translocation of ZAP-70 to Immunological synapse"
"REACTOME_ERK_MAPK_TARGETS","Reactome","Genes involved in ERK/MAPK targets","(Reactome) ERK/MAPK targets"
"REACTOME_TIE2_SIGNALING","Reactome","Genes involved in Tie2 Signaling","(Reactome) Tie2 Signaling"
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES","Reactome","Genes involved in Generation of second messenger molecules","(Reactome) Generation of second messenger molecules"
"REACTOME_GENERIC_TRANSCRIPTION_PATHWAY","Reactome","Genes involved in Generic Transcription Pathway","(Reactome) Generic Transcription Pathway"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_","Reactome","Genes involved in Response to elevated platelet cytosolic Ca2+","(Reactome) Response to elevated platelet cytosolic Ca2+"
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","Reactome","Genes involved in Transport of Mature Transcript to Cytoplasm","(Reactome) Transport of Mature Transcript to Cytoplasm"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES","Reactome","Genes involved in Metabolism of amino acids and derivatives","(Reactome) Metabolism of amino acids and derivatives"
"REACTOME_RNA_POL_I_TRANSCRIPTION","Reactome","Genes involved in RNA Polymerase I Transcription","(Reactome) RNA Polymerase I Transcription"
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS","Reactome","Genes involved in Fatty Acyl-CoA Biosynthesis","(Reactome) Fatty Acyl-CoA Biosynthesis"
"REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION","Reactome","Genes involved in E2F-enabled inhibition of pre-replication complex formation","(Reactome) E2F-enabled inhibition of pre-replication complex formation"
"REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES","Reactome","Genes involved in p75NTR recruits signalling complexes","(Reactome) p75NTR recruits signalling complexes"
"REACTOME_BIOLOGICAL_OXIDATIONS","Reactome","Genes involved in Biological oxidations","(Reactome) Biological oxidations"
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR","Reactome","Genes involved in Regulated proteolysis of p75NTR","(Reactome) Regulated proteolysis of p75NTR"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","Reactome","Genes involved in Transmission across Chemical Synapses","(Reactome) Transmission across Chemical Synapses"
"REACTOME_P75NTR_SIGNALS_VIA_NFKB","Reactome","Genes involved in p75NTR signals via NF-kB","(Reactome) p75NTR signals via NF-kB"
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","Reactome","Genes involved in Caspase-mediated cleavage of cytoskeletal proteins","(Reactome) Caspase-mediated cleavage of cytoskeletal proteins"
"REACTOME_XENOBIOTICS","Reactome","Genes involved in Xenobiotics","(Reactome) Xenobiotics"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","Reactome","Genes involved in Integrin cell surface interactions","(Reactome) Integrin cell surface interactions"
"REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","Reactome","Genes involved in Regulation of ornithine decarboxylase (ODC)","(Reactome) Regulation of ornithine decarboxylase (ODC)"
"REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE","Reactome","Genes involved in Cytochrome P450 - arranged by substrate type","(Reactome) Cytochrome P450 - arranged by substrate type"
"REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","Reactome","Genes involved in Base-free sugar-phosphate removal via the single-nucleotide replacement pathway","(Reactome) Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS","Reactome","Genes involved in Apoptotic cleavage of cell adhesion  proteins","(Reactome) Apoptotic cleavage of cell adhesion  proteins"
"REACTOME_HDL_MEDIATED_LIPID_TRANSPORT","Reactome","Genes involved in HDL-mediated lipid transport","(Reactome) HDL-mediated lipid transport"
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","Reactome","Genes involved in NRAGE signals death through JNK","(Reactome) NRAGE signals death through JNK"
"REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS","Reactome","Genes involved in SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs","(Reactome) SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs"
"REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS","Reactome","Genes involved in NRIF signals cell death from the nucleus","(Reactome) NRIF signals cell death from the nucleus"
"REACTOME_REGULATION_OF_APOPTOSIS","Reactome","Genes involved in Regulation of Apoptosis","(Reactome) Regulation of Apoptosis"
"REACTOME_RNA_POL_II_TRANSCRIPTION","Reactome","Genes involved in RNA Polymerase II Transcription","(Reactome) RNA Polymerase II Transcription"
"REACTOME_NEURONAL_SYSTEM","Reactome","Genes involved in Neuronal System","(Reactome) Neuronal System"
"REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL","Reactome","Genes involved in NF-kB is activated and signals survival","(Reactome) NF-kB is activated and signals survival"
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","Reactome","Genes involved in Regulation of beta-cell development","(Reactome) Regulation of beta-cell development"
"REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS","Reactome","Genes involved in Phase 1 - Functionalization of compounds","(Reactome) Phase 1 - Functionalization of compounds"
"REACTOME_RNA_POL_III_TRANSCRIPTION","Reactome","Genes involved in RNA Polymerase III Transcription","(Reactome) RNA Polymerase III Transcription"
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","Reactome","Genes involved in Cell death signalling via NRAGE, NRIF and NADE","(Reactome) Cell death signalling via NRAGE, NRIF and NADE"
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE","Reactome","Genes involved in Neurotransmitter Release Cycle","(Reactome) Neurotransmitter Release Cycle"
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","Reactome","Genes involved in p75 NTR receptor-mediated signalling","(Reactome) p75 NTR receptor-mediated signalling"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","Reactome","Genes involved in Amino acid transport across the plasma membrane","(Reactome) Amino acid transport across the plasma membrane"
"REACTOME_ENDOGENOUS_STEROLS","Reactome","Genes involved in Endogenous sterols","(Reactome) Endogenous sterols"
"REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS","Reactome","Genes involved in Regulation of gene expression in beta cells","(Reactome) Regulation of gene expression in beta cells"
"REACTOME_GLYCOLYSIS","Reactome","Genes involved in Glycolysis","(Reactome) Glycolysis"
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND","Reactome","Genes involved in Processive synthesis on the lagging strand","(Reactome) Processive synthesis on the lagging strand"
"REACTOME_PEPTIDE_CHAIN_ELONGATION","Reactome","Genes involved in Peptide chain elongation","(Reactome) Peptide chain elongation"
"REACTOME_COMMON_PATHWAY","Reactome","Genes involved in Common Pathway","(Reactome) Common Pathway"
"REACTOME_MRNA_CAPPING","Reactome","Genes involved in mRNA Capping","(Reactome) mRNA Capping"
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION","Reactome","Genes involved in Mitochondrial Fatty Acid Beta-Oxidation","(Reactome) Mitochondrial Fatty Acid Beta-Oxidation"
"REACTOME_SIGNALING_BY_GPCR","Reactome","Genes involved in Signaling by GPCR","(Reactome) Signaling by GPCR"
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","Reactome","Genes involved in Peptide ligand-binding receptors","(Reactome) Peptide ligand-binding receptors"
"REACTOME_METABOLISM_OF_POLYAMINES","Reactome","Genes involved in Metabolism of polyamines","(Reactome) Metabolism of polyamines"
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS","Reactome","Genes involved in Class A/1 (Rhodopsin-like receptors)","(Reactome) Class A/1 (Rhodopsin-like receptors)"
"REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY","Reactome","Genes involved in Notch-HLH transcription pathway","(Reactome) Notch-HLH transcription pathway"
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","Reactome","Genes involved in Integration of energy metabolism","(Reactome) Integration of energy metabolism"
"REACTOME_CELL_CYCLE_MITOTIC","Reactome","Genes involved in Cell Cycle, Mitotic","(Reactome) Cell Cycle, Mitotic"
"REACTOME_GLUCONEOGENESIS","Reactome","Genes involved in Gluconeogenesis","(Reactome) Gluconeogenesis"
"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","Reactome","Genes involved in Dopamine Neurotransmitter Release Cycle","(Reactome) Dopamine Neurotransmitter Release Cycle"
"REACTOME_OPIOID_SIGNALLING","Reactome","Genes involved in Opioid Signalling","(Reactome) Opioid Signalling"
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES","Reactome","Genes involved in Recruitment of mitotic centrosome proteins and complexes","(Reactome) Recruitment of mitotic centrosome proteins and complexes"
"REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION","Reactome","Genes involved in Mitochondrial tRNA aminoacylation","(Reactome) Mitochondrial tRNA aminoacylation"
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION","Reactome","Genes involved in Cytosolic tRNA aminoacylation","(Reactome) Cytosolic tRNA aminoacylation"
"REACTOME_CA_DEPENDENT_EVENTS","Reactome","Genes involved in Ca-dependent events","(Reactome) Ca-dependent events"
